rank	count	BODY
1262=	1	Male winged, female wings reduced, collected in light trap.
1262=	1	Male winged, female wings reduced, record from cave, Karri forest and termite ridden logs in Salmon Gum vegetation.
1262=	1	Male winged, female wings reduced, record from light trap.
1262=	1	Male winged, female wings reduced, record from pitfall traps.
1262=	1	Male winged, female wings reduced, record of ant association, collected by light trap.
1262=	1	Male winged, female wings reduced, recorded from under bark of <I>Eucalyptus globulus</I> [Myrtaceae] and collected using trough, flight intercept and light traps.
1262=	1	Male winged, female wings reduced, recorded from under logs and sheet of corrugated iron and in mallee.
1262=	1	Male winged, female wings reduced, recorded on <I>Eucalyptus</I> [Myrtaceae] and under bark of <I>E. amplifolia</I>, light trap and trough trap.
1262=	1	Male winged, female wings reduced, under bark of <I>Eucalyptus largiflorens</I> [Myrtaceae] and dry sclerophyll forest.
1262=	1	Male winged, recorded from inside house, female unknown.
1262=	1	Male winged, recorded from under log, female unknown.
1262=	1	Male wings reduced, female apterous.
1262=	1	Male with wings, female apterous, record from under <I>Eucalyptus</I> sp. [Myrtaceae] bark.
1262=	1	Males cluster at night, flower visiting record: marguerites, <I>Acacia</I> Miller [Mimosaceae], <I>Angophora</I> Cav. [Myrtaceae], <I>Arctotheca</I> Wendl. [Asteraceae], <I>Boronia</I> Sm. [Rutaceae], <I>Bursaria</I> Cav. [Pittosporaceae], <I>Coreopsis</I> L. [Asteraceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Hypochaeris</I> L. [Asteraceae], <I>Leucopogon</I> R.Br. [Epacridaceae], <I>Mesembryanthemum</I> L. [Aizoaceae], <I>Myoporum</I> G.Forster [Myoporaceae], <I>Olearia</I> Moench [Asteraceae], <I>Syzygium</I> Gaertner [Myrtaceae], <I>Veronica</I> L. [Scrophulariaceae].
1262=	1	Males cluster, flower visiting record: <I>Cassia</I> L. <I>s.lat.</I> [Caesalpiniaceae], <I>Jacksonia</I> Smith [Fabaceae], <I>Melastoma</I> L. [Melastomataceae], <I>Solanum</I> L. [Solanaceae], <I>Wahlenbergia</I> Roth [Campanulaceae], <I>Xanthorrhoea</I> Sm. [Xanthorrhoeaceae].
1262=	1	Males cluster, flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae].
1262=	1	Males cluster.
1262=	1	Males found clustering on plant stems.
1262=	1	Males found clustering, flower visiting record: aster.
1262=	1	Males found clustering, flower visiting record: yellow composite, <I>Acacia</I> Miller [Mimosaceae], <I>Alphitonia</I> Reisseck ex Endl. [Rhamnaceae], <I>Amyema</I> Tieghem [Loranthaceae], <I>Angophora</I> Cav. [Myrtaceae], <I>Bursaria</I> Cav. [Pittosporaceae], <I>Callistemon</I> R.Br. [Myrtaceae], <I>Cassia</I> L. <I>s.lat.</I> [Caesalpiniaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Eugenia</I> L. [Myrtaceae], <I>Jacksonia</I> Smith [Fabaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Melaleuca</I> L. [Myrtaceae], <I>Terminalia</I> L. [Combretaceae], <I>Tristaniopsis</I> Brongn. & Gris [Myrtaceae], <I>Xanthorrhoea</I> Sm. [Xanthorrhoeaceae].
1262=	1	Males have been captured at light.
1262=	1	Males patrolled flowering <I>Banksia</I> L.f. [Proteaceae] shrubs; flower visiting records: <I>Aster</I> L. [Asteraceae], <I>Banksia</I> L.f. [Proteaceae], <I>Bursaria</I> Cav. [Pittosporaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Melaleuca</I> L. [Myrtaceae].
1262=	1	Males patrolled flowers of <I>Eucalyptus</I> L'Hérit. [Myrtaceae]; flower visiting record: <I>Banksia</I> L.f. [Proteaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Xylomelum</I> Sm. [Proteaceae].
1262=	1	Males possibly form sleeping aggregations, flower visiting record: <I>Eucalyptus</I> L'Hérit. [Myrtaceae].
1262=	1	Males sleeping on stems of <I>Triodia</I> R.Br. [Poaceae]; flower visiting record: ?<I>Grevillea</I> R.Br. ex J. Knight [Proteaceae] .
1262=	1	Males territorial during breeding season.
1262=	1	Males territorial prior to and throughout breeding season.
1262=	1	Males territorial, flower visiting record: <I>Banksia</I> L.f. [Proteaceae], <I>Dryandra</I> R.Br. [Proteaceae].
1262=	1	Males territorial, perched on flowers of <I>Beaufortia</I> R.Br. [Myrtaceae].
1262=	1	Males territorial, perched on growing tips of <I>Adenanthos</I> Labill. [Proteaceae], <I>Banksia</I> L.f. [Proteaceae], or <I>Jacksonia</I> Smith [Fabaceae]; flower visiting record: <I>Grevillea</I> R.Br. ex J. Knight [Proteaceae].
1262=	1	Males unknown, brachypterous.
1262=	1	Males volant, females micrapterous
1262=	1	Males winged, females apterous, record from under log, often found under stones and wood in open forest.
1262=	1	Mangrove and monsoon vine thicket
1262=	1	Mangrove swamp, larva unknown.
1262=	1	Mangrove*.
1262=	1	Mangrove.
1262=	1	Many genera of Cruciferae.
1262=	1	Margins of mangroves and rainforest, eggs are laid on young foliage of food plant, larva builds silk-lined shelters in leaflets of food plant, pupa in last larval shelter, adult inhabits margins of rainforest and mangroves where food plant grows, flight is rapid and jerky, settles frequently, recorded throughout the year.
1262=	1	Marine littoral, freshwater streams, brackish pools, damp soil and vegetation.
1262=	1	Marine, sessile, filter-feeder; depth intertidal waters–65 m.
1262=	1	Maritime, psammophile, amongst beach debris and logs, feed on small crustacea, and eggs and larvae of flies, drowned insects, amphipods, flies, crickets, earwigs, burrow in sand, breeding in decaying seaweed.
1262=	1	Maritime, psammophile, under stones on beach, under moist debris above high-tide mark, feed on flies, isopods, and millipedes, parental care of eggs, five larval instars, thigmotaxis, negative phototaxis, oviposition in damp depressions of stones or debris.
1262=	1	Markham (2010) states that <i>M. choprai</i> infests <i>Perisesarma erythodactyla</i> (Hess, 1865), this is the incorrect combination, it is <i>Parasesarma erythodactyla</i> (Hess, 1865)
1262=	1	Marshy areas, wet fringes close to rain forest.
1262=	1	Massive and nodulose growth.
1262=	1	Maternal care, larvae cling to underside of female.
1262=	1	Maternal care, minor cotton pest, parasitised by <I>Anastatus </I>sp. nr. <I>pentatomidivorus </I>Girault (Hymenoptera: Eupelmidae) and <I>Gyron hirsutioculus </I>(Girault) (Hymenoptera: Scelionidae).
1262=	1	Matthews (1999: 73) suggested the larvae to possibly feed on <I>Zygochloa paradoxa</I> (Poaceae).
1262=	1	Matthews (1999: 90) suggested the larvae to possibly feed on <I>Triodia scariosa</I> (Poaceae).
1262=	1	Mature adults migrate to the deep waters of the Coral Sea to spawn (Allen, Midgley, Allen 2002).
1262=	1	Mature larva tying dead leaves on forest floor. Larval foodplant: dead leaves of <I> Eucalyptus</I> sp. (Myrtaceae).
1262=	1	May also feed on termites.
1262=	1	May be associated with <I>Zostera</I> and <I>Posidonia</I>.
1262=	1	May be dredged in as little as 10 m {Wilson1993B}.
1262=	1	May cohabit with colonies of <I>Badumna candida</I> (Araneae: Desidae).
1262=	1	May live on floating timber and on ships' hulls.
1262=	1	May live on other Limpets.
1262=	1	May persist in potamoplankton of slow-flowing rivers if washed out of reservoirs.
1262=	1	McMillan (1950a, 1950b) reported this species breeding in <I>Eucalyptus rudis</I>; this was cited later by Hawkeswood & Peterson (1982). "Adults collected on leaves of <i>Acacia</i> sp. (Fabaceae)" (Levey 2012: 53)
1262=	1	McMillan (1951) reports this species from dead limbs and trunks of <I>Casuarina glauca</I>; this was cited by Hawkeswood & Peterson (1982). Hawkeswood (1988) questioned the identification of the host plant, indicating that it might be either <I>C. frasieriana</I> or <I>C. obesa</I>.
1262=	1	McMillan (1952) reported adults from <I>Leptospermum</I> and some species of <I>Hakea, </I>and Hawkeswood & Peterson (1982) cited that the larvae breed in <I>Melaleuca</I> and <I>Leptospermum</I>.
1262=	1	McMillan (1952) reported adults on a variety of hosts such as Geraldton Wax, <I>Melaleuca</I> and <I>Leptospermum</I> and breeding in <I>Agonis flexuosa, </I>and this was noted by Hawkeswood & Peterson (1982).
1262=	1	McMillan (1952) reported adults on the flowers of <I>Leptospermum</I> and <I>Melaleuca</I>.
1262=	1	Medium sand, 49 m depth.
1262=	1	Medium size rapid streams.
1262=	1	Medium swift, stony streams and rivers.
1262=	1	Medium to coarse sand bottoms, 36–50 m depth.
1262=	1	Medium to swift, stony streams and rivers.
1262=	1	Megalopae migrate upstream into freshwater to mature, under rocks, logs, and dead leaves.
1262=	1	Mesobenthopelagic to depths of 400 m or greater.
1262=	1	Mesoparasitic: found on the gills two species of Pufferfish
1262=	1	Mesophyll vine forest to notophyll vine forest and montane microphyll vine fern thicket, rotting logs and debris.
1262=	1	Meyrick (1893) in describing <I>Nematophora orichalcias</I> stated that it 'frequented the flowers of <I> Bursaria spinosa</I>' (Pittosporaceae).
1262=	1	Meyrick included under this name a specimen from NSW reared from a larva mining apical portion of leaves of <I>Hakea dactyloides</I> (Proteaceae), pupating within the mine. This may belong to a separate species.
1262=	1	Microphagous.
1262=	1	Microphyll vine fern thickets and forests.
1262=	1	Microphyll vine forest and vine thicket, notophyll vine forest, under logs.
1262=	1	Microphyll vine forest and vine thickets, in leaf litter.
1262=	1	Microvore, <I>Pinus radiata </I>pine needles.
1262=	1	Microvore, humid forests, agricultural soils.
1262=	1	Microvore, in moss under lichen.
1262=	1	Microvore, shrubland, forest.
1262=	1	Microvore, under native vegetation and on agricultural land; predominantly inland terrestrial species.
1262=	1	Mid to low intertidal; aerial roots and trunks of mangrove trees.
1262=	1	Mid to low-tide.
1262=	1	Mid to lower intertidal; rocks and debris.
1262=	1	Mid to lower littoral.
1262=	1	Mid-tide level in sand under stones.
1262=	1	Mid-to low littoral zones {Siang1995}.
1262=	1	Middle part of outflows.
1262=	1	Might be grass feeder.
1262=	1	Migrating to surface at night to feed, 0–270 m.
1262=	1	Migratory.
1262=	1	Milky pine, oil palm, sapodilla, Arecaceae.
1262=	1	Milky pine.
1262=	1	Mimic of <I>Canthigaster valentini</I> (Tetraodontidae).
1262=	1	Miscropterous/apterous.
1262=	1	Mist forest.
1262=	1	Mistletoe.
1262=	1	Mixed algae.
1262=	1	Moderate size streams.
1262=	1	Moderate size, fast flowing streams.
1262=	1	Moderate to fast flowing rivers on undersurfaces of rocks and cobbles.
1262=	1	Moderate to slow flowing, fresh to brackish waters, on stones and rocks amongst filamentous green algae.
1262=	1	Moderately deep waters between 21-100 m depth.  Recorded in association with host actinarian <i>Dofleinia armata</i>
1262=	1	Moderately fast flowing creeks.
1262=	1	Moist forests, microvore.
1262=	1	Moist habitats.
1262=	1	Moist notophyll vine forest, under logs and bark.
1262=	1	Moist sclerophyll fern forest, flimsy sheet/tube web under logs and bark.
1262=	1	Moist subtropical notophyll vine forest, under bark and in rolled up stems of discarded palm fronds.
1262=	1	Montane notophyll vine forest, under logs and under bark on rotting logs.
1262=	1	Montane.
1262=	1	More common on shores of mainland than on reef proper, intertidal down to 180 m depth.
1262=	1	Moss on tree trunks.
1262=	1	Moss, birds nests; abundant in both marine and inland terrestrial habitats.
1262=	1	Moss, grasses.
1262=	1	Moss, native grasses.
1262=	1	Most abundant in deep lotic freshwater, feeds mainly on decaying plant matter, has been observed to hunt actively and capture tadpoles, from altitudes of 70–800 m.
1262=	1	Most abundant in the high-rainfall karri forest, though also occurs sparsley in the drier jarrah forest.
1262=	1	Most common at 25-45 m; from 2-3 m.
1262=	1	Most common on firm mud banks of mid- to upper-estuary.
1262=	1	Most commonly associated with dense cover and thick litter.
1262=	1	Most commonly found at depths less than 200 m.
1262=	1	Most commonly found on the underside of rubble.
1262=	1	Most commonly taken intertidally, under rocks or in heads of coral.
1262=	1	Most plentiful below 250 m, in waters of 7ºC to 30ºC.
1262=	1	Most records are from 100-3000 m depth.
1262=	1	Most records of solitary individuals but one sample of 81 individuals suggests they can form small colonies
1262=	1	Most typically found in broad-mouthed shells.
1262=	1	Mostly 30-80 m; to 270 m.
1262=	1	Mostly brachypterous.
1262=	1	Mostly close to the groung in the middle and rear parts of the mangrove. Trunks and leaves of <i>Avicennia</i>; on and under rocks; sheltered shores.
1262=	1	Mostly collected at light, also Malaise and intercept traps.
1262=	1	Mostly collected at light.
1262=	1	Mostly found from 50-200 m depth, but is also reported from <I>Ecklonia </I>holdfasts in the low intertidal zone.
1262=	1	Mostly found in burrows, occasionally on or in other sponges; depth 2–17 m, or encrusting on rock.
1262=	1	Mostly from 1-25 m, to 65 m.
1262=	1	Mostly from <I>Sargassum</I>.
1262=	1	Mostly in rainforests, also in moist tree fern gullies and wet sclerophyll forests.
1262=	1	Mostly inhabiting ghost gums, <I>Eucalyptus papuana</I>, and bloodwood, <I>E. terminalis</I>, usually growing on rocky outcrops.
1262=	1	Mostly intertidal collections, also found in heads of coral, dredged to depths of 83 m.
1262=	1	Mostly intertidal to 30 m depth, but a few records are from 100-900 m depth.
1262=	1	Mostly on understorey vegetation in dry eucalpt forests.
1262=	1	Mostly rainforest streams.
1262=	1	Mostly removed from dead <I>Triodia </I>clumps: 'all collection sites … combine hummock grass and limestone'.
1262=	1	Mostly to 30 m, wedged amongst coral rubble.
1262=	1	Mound springs.
1262=	1	Mountain streams.
1262=	1	Mud and coarse sand with mud, concrete blocks at about 10 m.
1262=	1	Mud and sand flats.
1262=	1	Mud and sandy-mud along seaward margin of mangroves in open bays, narrow creeks, and on isolated sand or mud banks.
1262=	1	Mud bottom with rock, 30-65 m depth.
1262=	1	Mud bottom, depths of 280–810 m.
1262=	1	Mud flat in front of mangroves.
1262=	1	Mud flats seaward of mangroves.
1262=	1	Mud flats with many mussels.
1262=	1	Mud flats, under rocks and on encrusting fauna.
1262=	1	Mud flats.
1262=	1	Mud nest, prey larval Lepidoptera.
1262=	1	Mud or sandy-mud substrates, 30–100 m depth.
1262=	1	Mud or sandy-mud substrates.
1262=	1	Mud shell and sand shell bottoms, 40–85 m depth.
1262=	1	Mud to sandy mud substrates.
1262=	1	Mud with sponges, 68–76 m.
1262=	1	Mud, coarse sand, coarse shell and gravel bottoms, 40–42 m depth.
1262=	1	Mud-dwelling, associated with decaying vegetation, oviposition on aquatic vegetation.
1262=	1	Mud-flats amongst weeds.
1262=	1	Mud-nest, prey larval Lepidoptera (Psychidae).
1262=	1	Muddy areas with coral rubble.
1262=	1	Muddy banks near mouth of creeks, often steep banks.
1262=	1	Muddy banks of narrow creeks, in shade of trees.
1262=	1	Muddy bottom with coral.
1262=	1	Muddy foreshore interspersed with rocks and mangrove roots.
1262=	1	Muddy habitats and wharf piles in protected waters.
1262=	1	Muddy or sandy intertidal pools under rocks and macrophytes, or soft level substrates, intertidal to 10.4 m.
1262=	1	Muddy or shelly sand at depths of 23–123 m.
1262=	1	Muddy rock pools.
1262=	1	Muddy sand bottoms, 67 m depth.
1262=	1	Muddy sand down to 5 m depth.
1262=	1	Muddy sand substrates from 10–80 m.
1262=	1	Muddy sand substrates to a depth of at least 47 m.
1262=	1	Muddy sand to fine sand bottoms, 8–130 m depth.
1262=	1	Muddy sand to mud bottoms, 7–59 m.
1262=	1	Muddy sand with incorporated gravel or coral rubble.
1262=	1	Muddy sand, 33–70 m depth.
1262=	1	Muddy sand.
1262=	1	Muddy shell gravel.
1262=	1	Muddy shell to fine sand bottoms, 45–188 m depth.
1262=	1	Muddy shore and mudflats, tolerant of brackish water, depths to 22–24 m.
1262=	1	Muddy shores.
1262=	1	Muddy to clay substrates, low tide to 100 m depth.
1262=	1	Muddy to rocky shores and on reef flats.
1262=	1	Muddy to rocky substrates, depth 30–600 m.
1262=	1	Muddy to sandy substrates with shells or coral rubble.
1262=	1	Muddy to shelly sand, 0–120 m depth.
1262=	1	Muddy upper shoulder of steep creeks, usually shaded.
1262=	1	Muddy, coarse or fine sand, shell bottom, depth 30 to 414 m.
1262=	1	Muddy-sand substrate, depth 24–26 m.
1262=	1	Muddy-sand substrates.
1262=	1	Muddy-sand to sand substrates, component of epifaunal communities in reefal areas.
1262=	1	Mudflats.
1262=	1	Mulga predominant cover, clay loams of braided watercourses, burrow with trapdoor.
1262=	1	Multifemale nests without division of labour, nests in dry <I>Xanthorrhoea</I> [Xanthorrhoeaceae] stems, in twigs of <I>Tristania</I> R.Br. [Myrtaceae], in dry fronds of <I>Cyathea </I>Smith [Cyatheaceae], flower visiting record: <I>Acacia</I> Miller [Mimosaceae], <I>Aster</I> L. [Asteraceae], <I>Banksia</I> L.f. [Proteaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Gompholobium</I> Sm. [Fabaceae], <I>Melaleuca</I> L. [Myrtaceae], <I>Pultenaea</I> Sm. [Fabaceae], <I>Xanthorrhoea</I> Sm. [Xanthorrhoeaceae].
1262=	1	Multivoltine, inside dry fruits of<I> Asclepias fructicosa</I>.
1262=	1	Multivoltine, prey of parasitic fly <I>Alophora aureiventris </I>Curran [Tachinidae].
1262=	1	Mushroom Nematode. Crop Damage associated.
1262=	1	Mussel clumps.
1262=	1	Mynah [Aves: Passeridae] nest, preferred hosts murine rodents, especially <I>Rattus </I>and <I>Mus </I>species.
1262=	1	Myrmecophile, adults and larvae taken in nest of <I>Amblypone australis </I>Erichson, 1842 [Formicidae].
1262=	1	Myrtle, rose (passim).
1262=	1	Narrow gully in dense <I>Nothofagus </I>forest, larva unknown.
1262=	1	Native Wisteria is an evergreen rainforest climber, larvae have recently adapted to cultivated Wisteria, eggs are laid singly on stems and new leaves of food plant, larva feeds only at night and builds silk-lined shelters in leaves of food plant, pupa in last larval shelter or larva may leave food plant and pupate in leaves of adjacent plants, adult flies throughout the day, flight is very rapid, recorded all months of the year, at Newcastle, NSW, overwinters as adult and lays eggs on developing <I>Wisteria sinensis</I> buds (A. Atkins, pers. comm.).
1262=	1	Native tachinid (Diptera: Tachinidae) parasite <I>Alophora lepidofera </I>(Malloch).
1262=	1	Near beach.
1262=	1	Near coral reefs.
1262=	1	Near forest streams and rivers.
1262=	1	Near lakes and rivers.
1262=	1	Near lakes, rivers, lagoons, small mountain brooks, associated with <I>Ochterus secundus secundus </I>Kormilev.
1262=	1	Near pools and streams, from base of waterfall.
1262=	1	Near reefs.
1262=	1	Near shore, above tide level.
1262=	1	Near streams and trickles.
1262=	1	Near surface to 20 m.
1262=	1	Near swamp.
1262=	1	Near vertical faces of waterfalls.
1262=	1	Necrophagous.
1262=	1	Needs thick understorey.
1262=	1	Nest (doubtful record, of mud cells), flower visiting record: <I>Hibiscus</I> L. [Malvaceae].
1262=	1	Nest (of resin, gum, or mud) in old mud-wasp (<I>Sceliphron laetum </I>(Smith) Sphecidae) nest, in cardboard trap nest, in drilled wooden blocks or in polystyrene bee boards, flower visiting records: lucerne, <I>Pongamia</I> Vent. [Fabaceae], <I>Pultenaea</I> Sm. [Fabaceae].
1262=	1	Nest builder, diet may include sap.
1262=	1	Nest builder.
1262=	1	Nest communally and gregariously in soil, flower visiting record: aster, daisy, <I>Acacia</I> Miller [Mimosaceae], <I>Arctotheca</I> Wendl. [Asteraceae], <I>Banksia</I> L.f. [Proteaceae], <I>Brachyscome</I> Cass. [Asteraceae], <I>Brassica</I> L. [Brassicaceae], <I>Bursaria</I> Cav. [Pittosporaceae], <I>Cotoneaster</I> Medikus [Rosaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Gastrolobium</I> R.Br. [Fabaceae], <I>Goodenia</I> Sm. [Goodeniaceae], <I>Helichrysum</I> Miller <I>s.lat.</I> [Asteraceae], <I>Helipterum</I> DC. <I>s.lat.</I> [Asteraceae], <I>Hypochaeris</I> L. [Asteraceae], <I>Ixodia</I> R.Br. [Asteraceae], <I>Jacksonia</I> Smith [Fabaceae], <I>Lagunaria</I> (DC.) Reichb. [Malvaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Melaleuca</I> L. [Myrtaceae], <I>Schinus</I> L. [Anacardiaceae], <I>Taraxacum</I> G.Weber [Asteraceae], <I>Veronica</I> L. [Scrophulariaceae], <I>Wahlenbergia</I> Roth [Campanulaceae].
1262=	1	Nest communally in soil, 'soldier' males found in nest, flower visiting records: <I>Acacia</I> Miller [Mimosaceae], <I>Amyema</I> Tieghem [Loranthaceae], <I>Angophora</I> Cav. [Myrtaceae], <I>Anthocercis</I> Labill. [Solanaceae], <I>Aotus</I> Smith [Fabaceae], <I>Atalaya</I> Blume [Sapindaceae], <I>Baeckea</I> L. [Myrtaceae], <I>Boronia</I> Sm. [Rutaceae], <I>Brachychiton</I> Schott & Endl. [Sterculiaceae], <I>Bursaria</I> Cav. [Pittosporaceae], <I>Calytrix</I> Lab. [Myrtaceae], <I>Carpobrotus</I> N.E. Br. [Aizoaceae], <I>Crotalaria</I> L. [Fabaceae], <I>Daviesia</I> Sm. [Fabaceae], <I>Dichopogon</I> Kunth [Liliaceae], <I>Dicrastylis</I> J.L. Drumm. ex Harvey [Verbenaceae], <I>Dillwynia</I> Sm. [Fabaceae], <I>Disphyma</I> N.E.Br. [Aizoaceae], <I>Eremophila</I> R.Br. [Myoporaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Eucarya</I> T. Mitch. [Santalaceae], <I>Goodenia</I> Sm. [Goodeniaceae], <I>Grevillea</I> R.Br. ex J. Knight [Proteaceae], <I>Heterodendrum</I> Desf. [Sapindaceae], <I>Hibbertia</I> Andrews [Dilleniaceae], <I>Jacksonia</I> Smith [Fabaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Leucopogon</I> R.Br. [Epacridaceae], <I>Melaleuca</I> L. [Myrtaceae], <I>Myoporum</I> G.Forster [Myoporaceae], <I>Pittosporum</I> Gaertner [Pittosporaceae], <I>Prostanthera</I> Labill. [Lamiaceae], <I>Pultenaea</I> Sm. [Fabaceae], <I>Santalum</I> L. [Santalaceae], <I>Schinus</I> L. [Anacardiaceae], <I>Senecio</I> L. [Asteraceae], <I>Solanum</I> L. [Solanaceae], <I>Syzygium</I> Gaertner [Myrtaceae], <I>Thryptomene</I> Endl. [Myrtaceae], <I>Tristaniopsis</I> Brongn. & Gris [Myrtaceae], <I>Wahlenbergia</I> Roth [Campanulaceae], <I>Westringia</I> Sm. [Lamiaceae], <I>Xanthorrhoea</I> Sm. [Xanthorrhoeaceae].
1262=	1	Nest communally in soil, flower visiting record: <I>Acacia</I> Miller [Mimosaceae], <I>Amyema</I> Tieghem [Loranthaceae], <I>Angophora</I> Cav. [Myrtaceae], <I>Atalaya</I> Blume [Sapindaceae], <I>Callistemon</I> R.Br. [Myrtaceae], <I>Codonocarpus</I> Cunn. ex Endl. [Gyrostemonaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Grevillea</I> R.Br. ex J. Knight [Proteaceae], <I>Hakea</I> Schrader [Proteaceae], <I>Keraudrenia</I> Gay [Sterculiaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Melaleuca</I> L. [Myrtaceae], <I>Ptilotus</I> R.Br. [Amaranthaceae], <I>Schinus</I> L. [Anacardiaceae], <I>Terminalia</I> L. [Combretaceae], <I>Tristaniopsis</I> Brongn. & Gris [Myrtaceae], <I>Wahlenbergia</I> Roth [Campanulaceae].
1262=	1	Nest communally in soil, flower visiting record: <I>Acacia</I> Miller [Mimosaceae], <I>Callistemon</I> R.Br. [Myrtaceae], <I>Calytrix</I> Lab. [Myrtaceae], <I>Cheiranthera</I> Brongn. [Pittosporaceae], <I>Cotoneaster</I> Medikus [Rosaceae], <I>Daviesia</I> Sm. [Fabaceae], <I>Dillwynia</I> Sm. [Fabaceae], <I>Diplarrena</I> Labill. [Iridaceae], <I>Eucalyptus</I> L'Hérit. [Myrtaceae], <I>Grevillea</I> R.Br. ex J. Knight [Proteaceae], <I>Hakea</I> Schrader [Proteaceae], <I>Leptospermum</I> Forster & G.Forster [Myrtaceae], <I>Leucopogon</I> R.Br. [Epacridaceae], <I>Mesembryanthemum</I> L. [Aizoaceae], <I>Parahebe</I> W.Oliver [Scrophulariaceae], <I>Platylobium</I> Sm. [Fabaceae], <I>Xanthorrhoea</I> Sm. [Xanthorrhoeaceae].
1262=	1	Nest communally in soil, flower visiting record: <I>Daviesia</I> Sm. [Fabaceae], <I>Pultenaea</I> Sm. [Fabaceae] (records on <I>Coreopsis</I> L. [Asteraceae], <I>Gazania</I> Gaertner [Asteraceae], <I>Hypochaeris</I> L. [Asteraceae], <I>Stylidium</I> Willd. [Stylidiaceae], and <I>Veronica</I> L. [Scrophulariaceae] were not repeated in Walker 1995).
1262=	1	Nest communally in soil, flower visiting record: aster, <I>Cryptostemma</I> R.Br. [Asteraceae], <I>Helichrysum</I> Miller <I>s.lat.</I> [Asteraceae].
1262=	1	Nest communally in soil, males cluster, flower visiting records: <I>Arctotheca</I> Wendl. [Asteraceae], <I>Brachyscome</I> Cass. [Asteraceae], <I>Carpobrotus</I> N.E. Br. [Aizoaceae], <I>Disphyma</I> N.E.Br. [Aizoaceae], <I>Mesembryanthemum</I> L. [Aizoaceae], <I>Taraxacum</I> G.Weber [Asteraceae], <I>Veronica</I> L. [Scrophulariaceae].
